FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_REGISTRO,PRODUCTO,PRECIO_MAYORISTA,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MAY,UNIDAD_MEDIDA_MIN
20260406,PIURA,PIURA,PIURA,200101,20260313,Melon coquito,2.46,3.05,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Uva alfonso lavalett,4,7.1,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Cebolla cabeza roja,1.92,4.25,Hortalizas,SACO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Carne de porcino (corte unico),18.75,20.75,Carnes y huevos,UNIDAD,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Papa canchan,1.77,3.05,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Vainita americana,3.16,6.45,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Papa amarilla,3.01,5.6,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Uva red globe,3.13,6.25,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Camote morado,1.98,4.75,Tuberculos,SACO GRANDE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Melocoton durazno huayco,5.45,9.8,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Arveja verde blanca serrana,7.1,8.65,Legumbres,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Manzana israel,3.18,5.35,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Ajo criollo o napuri,7.7,13.5,Hortalizas,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Manzana delicia,2.25,4.45,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Azucar rubia nacional (granel),3.29,4.45,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Mango edward,3.77,5.05,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Azucar blanca nacional (granel),3.27,4.55,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260313,Tomate,2.43,3.75,Hortalizas,KILOGRAMO,KILOGRAMO
